genome_id	genome_name	taxonomy
1001240.4	Cryobacterium roopkundense RuG17	Cryobacterium, Microbacteriaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
100226.15	Streptomyces coelicolor A3(2)	Streptomyces, Streptomycetaceae, Streptomycetales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1002804.6	Helicobacter bizzozeronii CIII-1	Helicobacter, Helicobacteraceae, Campylobacterales, Epsilonproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms
1002809.3	Solibacillus silvestris StLB046	Solibacillus, Planococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1002870.3	Gaiella occulta strain F2-233	Gaiella, Gaiellaceae, Gaiellales, Rubrobacteria, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1003.8	Thermoflexibacter ruber strain GEY, DSM 9560	Thermoflexibacter, Thermoflexibacteraceae, Cytophagales, Cytophagia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms
1005057.4	Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	Buchnera, Erwiniaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1005090.4	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	Buchnera, Erwiniaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1005740.3	Aminivibrio pyruvatiphilus strain DSM 25964	Aminivibrio, Synergistaceae, Synergistales, Synergistia, Synergistetes, Bacteria, cellular organisms
1006006.8	Metallosphaera cuprina Ar-4	Metallosphaera, Sulfolobaceae, Sulfolobales, Thermoprotei, Crenarchaeota, TACK group, Archaea, cellular organisms
1006576.10	Defluviitoga tunisiensis strain L3	Defluviitoga, Petrotogaceae, Petrotogales, Thermotogae, Thermotogae, Bacteria, cellular organisms
1007092.3	Microlunatus terrae strain DSM 26486	Microlunatus, Propionibacteriaceae, Propionibacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1007096.3	Oscillibacter ruminantium GH1	Oscillibacter, Oscillospiraceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1008308.3	Fusibacter tunisiensis strain DSM 24436	Fusibacter, Eubacteriales Family XII. Incertae Sedis, Eubacteriales incertae sedis, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1008392.4	Chitinispirillum alkaliphilum strain ACht6-1	Chitinispirillum, Chitinispirillaceae, Chitinispirillales, Chitinispirillia, Fibrobacteres, FCB group, Bacteria, cellular organisms
100901.6	Wolbachia endosymbiont of Onchocerca ochengi strain wOo	Wolbachia, Wolbachieae, Anaplasmataceae, Rickettsiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1009370.3	Acetonema longum DSM 6540	Acetonema, Sporomusaceae, Selenomonadales, Negativicutes, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
